consulta,plano,tentativa,tempo
avanc_04,baseline,5,0.06406760000390932
avanc_04,baseline,6,0.07089289999566972
avanc_04,baseline,7,0.06553210003767163
avanc_04,baseline,8,0.06353520002448931
avanc_04,baseline,9,0.06746170000405982
avanc_04,baseline,10,0.06648249999852851
avanc_04,baseline,11,0.06221720000030473
avanc_04,baseline,12,0.06588400003965944
avanc_04,baseline,13,0.06623150000814348
avanc_04,baseline,14,0.06234279996715486
avanc_04,baseline,15,0.06552619999274611
avanc_04,baseline,16,0.0635799000156112
avanc_04,baseline,17,0.06545970001025125
avanc_04,baseline,18,0.0652803999837488
avanc_04,baseline,19,0.0673973000375554
avanc_04,baseline,20,0.06648729997687042
avanc_05,baseline,1,1.4971127000171691
avanc_05,baseline,2,1.440758700016886
avanc_05,baseline,3,1.451860300032422
avanc_05,baseline,4,1.4314306000014767
avanc_05,baseline,5,1.452633600041736
avanc_05,baseline,6,1.4421400999999605
avanc_05,baseline,7,1.4334478999953717
avanc_05,baseline,8,1.4268969000549987
avanc_05,baseline,9,1.628705599985551
avanc_05,baseline,10,1.4764799000113271
avanc_05,baseline,11,1.431544799997937
avanc_05,baseline,12,1.4265863000182435
avanc_05,baseline,13,1.4251822999794967
avanc_05,baseline,14,1.475005800020881
avanc_05,baseline,15,1.4317740999977104
avanc_05,baseline,16,1.4401903999969363
avanc_05,baseline,17,1.4967908000107855
avanc_05,baseline,18,1.4379385000211187
avanc_05,baseline,19,1.4254489000304602
avanc_05,baseline,20,1.4300171000068076
avanc_06,baseline,1,0.1365487999864854
avanc_06,baseline,2,0.1383851999999024
avanc_06,baseline,3,0.13921839999966323
avanc_06,baseline,4,0.13902839994989336
avanc_06,baseline,5,0.14446840004529804
avanc_06,baseline,6,0.14064909995067865
avanc_06,baseline,7,0.13748199999099597
avanc_06,baseline,8,0.13583559996914119
avanc_06,baseline,9,0.13903810002375394
avanc_06,baseline,10,0.14195570000447333
avanc_06,baseline,11,0.13842440000735223
avanc_06,baseline,12,0.13954420003574342
avanc_06,baseline,13,0.13460190000478178
avanc_06,baseline,14,0.39167949999682605
avanc_06,baseline,15,0.1398001000052318
avanc_06,baseline,16,0.13783710001735017
avanc_06,baseline,17,0.1419783000019379
avanc_06,baseline,18,0.13985500001581386
avanc_06,baseline,19,0.1365226000198163
avanc_06,baseline,20,0.14400869997916743
avanc_07,baseline,1,0.9343289000098594
avanc_07,baseline,2,0.9381057000136934
avanc_07,baseline,3,0.9320470999809913
avanc_07,baseline,4,0.9384115000138991
avanc_07,baseline,5,0.9350849000038579
avanc_07,baseline,6,0.9370871999999508
avanc_07,baseline,7,0.9322929999907501
avanc_07,baseline,8,0.9436090000090189
avanc_07,baseline,9,1.0823956999811344
avanc_07,baseline,10,1.2209768999600783
avanc_07,baseline,11,1.0726679000072181
avanc_07,baseline,12,1.064328700012993
avanc_07,baseline,13,1.0530018000281416
avanc_07,baseline,14,1.018941199989058
avanc_07,baseline,15,1.0405440999893472
avanc_07,baseline,16,1.0062316000112332
avanc_07,baseline,17,1.0081391000421718
avanc_07,baseline,18,1.0180561000015587
avanc_07,baseline,19,1.0801271999953315
